iter	Passed	Remaining
317	2585	5544
318	2593	5537
319	2602	5529
320	2610	5521
321	2618	5513
322	2626	5504
323	2633	5495
324	2641	5487
325	2649	5477
326	2657	5468
327	2664	5458
328	2671	5448
329	2678	5438
330	2686	5429
331	2693	5420
332	2700	5410
333	2708	5401
334	2716	5392
335	2724	5384
336	2732	5376
337	2741	5368
338	2748	5359
339	2757	5351
340	2765	5343
341	2776	5341
342	2785	5335
343	2793	5326
344	2801	5319
345	2809	5309
346	2817	5301
347	2825	5293
348	2833	5285
349	2841	5277
350	2849	5269
351	2857	5259
352	2864	5250
353	2872	5242
354	2880	5233
355	2887	5223
356	2894	5213
357	2902	5205
358	2909	5195
359	2917	5186
360	2925	5177
361	2933	5170
362	2941	5162
363	2949	5154
364	2958	5147
365	2967	5139
366	2975	5132
367	2984	5124
368	2992	5117
369	3000	5109
370	3009	5101
371	3017	5094
372	3025	5085
373	3033	5077
374	3041	5068
375	3049	5061
376	3057	5052
377	3065	5044
378	3073	5035
379	3081	5027
380	3088	5018
381	3097	5011
382	3104	5001
383	3112	4992
384	3120	4984
385	3128	4976
386	3136	4968
387	3144	4960
388	3153	4952
389	3161	4944
390	3168	4935
391	3177	4927
392	3185	4919
393	3193	4911
394	3201	4903
395	3209	4894
396	3217	4886
397	3225	4879
398	3232	4869
399	3239	4859
400	3247	4850
401	3254	4841
402	3262	4832
403	3269	4823
404	3277	4814
405	3284	4805
406	3292	4796
407	3299	4787
408	3307	4779
409	3314	4770
410	3322	4761
411	3334	4758
412	3345	4754
413	3354	4748
414	3363	4741
415	3372	4733
416	3379	4725
417	3387	4717
418	3396	4709
419	3404	4701
420	3412	4693
421	3420	4684
422	3428	4676
423	3436	4667
424	3444	4659
425	3451	4650
426	3459	4641
427	3466	4633
428	3474	4624
429	3482	4616
430	3490	4608
431	3498	4599
432	3506	4591
433	3514	4582
434	3521	4574
435	3530	4566
436	3537	4557
437	3547	4551
438	3555	4543
439	3563	4534
440	3570	4526
441	3578	4518
442	3586	4509
443	3594	4500
444	3601	4491
445	3610	4484
446	3617	4475
447	3626	4468
448	3634	4459
449	3642	4451
450	3649	4443
451	3657	4434
452	3665	4425
453	3672	4416
454	3679	4407
455	3687	4398
456	3694	4389
457	3701	4380
458	3709	4372
459	3717	4363
460	3726	4356
461	3734	4348
462	3742	4340
463	3751	4333
464	3764	4331
465	3775	4326
466	3783	4318
467	3791	4310
468	3800	4302
469	3808	4294
470	3817	4287
471	3825	4279
472	3833	4271
473	3842	4263
474	3850	4255
475	3857	4247
476	3865	4238
477	3873	4230
478	3881	4221
479	3889	4213
480	3897	4205
481	3905	4196
482	3912	4187
483	3920	4179
484	3927	4170
485	3936	4163
486	3944	4155
487	3953	4147
488	3960	4138
489	3968	4130
490	3975	4121
491	3983	4113
492	3991	4104
493	3998	4095
494	4005	4086
495	4013	4078
496	4021	4069
497	4029	4061
498	4036	4053
499	4044	4044
500	4052	4036
501	4059	4027
502	4067	4019
503	4074	4010
504	4082	4002
505	4090	3993
506	4097	3984
507	4105	3975
508	4112	3967
509	4119	3958
510	4127	3949
511	4135	3941
512	4142	3932
513	4151	3925
514	4164	3922
515	4177	3918
516	4187	3912
517	4197	3906
518	4205	3897
519	4214	3890
520	4222	3881
521	4230	3874
522	4238	3865
523	4246	3857
524	4254	3849
525	4261	3840
526	4269	3831
527	4277	3823
528	4284	3814
529	4292	3806
530	4300	3798
531	4308	3790
532	4316	3781
533	4324	3773
534	4332	3765
535	4340	3757
536	4349	3750
537	4358	3742
538	4367	3735
539	4376	3727
540	4383	3719
541	4391	3711
542	4400	3703
543	4408	3695
544	4415	3686
545	4423	3678
546	4430	3669
547	4438	3661
548	4446	3652
549	4453	3643
550	4461	3635
551	4468	3626
552	4476	3618
553	4483	3609
554	4491	3601
555	4498	3592
556	4506	3584
557	4513	3575
558	4521	3566
559	4528	3558
560	4537	3550
561	4545	3542
562	4553	3534
563	4561	3526
564	4569	3517
565	4577	3509
566	4584	3501
567	4592	3492
568	4600	3484
569	4608	3476
570	4615	3467
571	4623	3459
572	4630	3450
573	4638	3442
574	4646	3434
575	4654	3425
576	4661	3417
577	4670	3409
578	4677	3401
579	4685	3392
580	4692	3384
581	4700	3376
582	4708	3367
583	4716	3359
584	4724	3351
585	4732	3343
586	4740	3335
587	4748	3327
588	4756	3318
589	4765	3311
590	4774	3304
591	4785	3297
592	4792	3289
593	4800	3281
594	4808	3272
595	4815	3264
596	4823	3255
597	4830	3247
598	4838	3238
599	4846	3230
600	4853	3222
601	4862	3214
602	4869	3205
603	4877	3197
604	4884	3189
605	4892	3180
606	4899	3172
607	4907	3163
608	4915	3155
609	4922	3147
610	4929	3138
611	4936	3129
612	4944	3121
613	4951	3113
614	4959	3104
615	4967	3096
616	4975	3088
617	4988	3083
618	5002	3078
619	5013	3072
620	5021	3064
621	5030	3057
622	5038	3049
623	5047	3041
624	5055	3033
625	5063	3025
626	5071	3016
627	5079	3008
628	5086	3000
629	5094	2992
630	5102	2983
631	5110	2975
632	5117	2967
633	5125	2958
634	5132	2950
635	5141	2942
636	5148	2934
637	5157	2926
638	5164	2917
639	5173	2910
640	5181	2901
641	5188	2893
642	5196	2885
643	5204	2877
644	5212	2868
645	5220	2860
646	5227	2852
647	5235	2843
648	5242	2835
649	5249	2826
650	5258	2818
651	5265	2810
652	5272	2801
653	5279	2793
654	5287	2785
655	5295	2776
656	5303	2768
657	5310	2760
658	5318	2752
659	5325	2743
660	5334	2735
661	5341	2727
662	5348	2718
663	5356	2710
664	5364	2702
665	5372	2694
666	5379	2685
667	5388	2678
668	5397	2670
669	5405	2662
670	5413	2654
671	5421	2646
672	5429	2638
673	5437	2630
674	5445	2621
675	5453	2613
676	5461	2605
677	5469	2597
678	5477	2589
679	5485	2581
680	5493	2573
681	5501	2565
682	5510	2557
683	5518	2549
684	5525	2541
685	5533	2532
686	5540	2524
687	5548	2516
688	5555	2507
689	5563	2499
690	5570	2491
691	5579	2483
692	5587	2475
693	5595	2467
694	5604	2459
695	5612	2451
696	5619	2442
697	5627	2434
698	5635	2426
699	5642	2418
700	5650	2410
701	5657	2401
702	5665	2393
703	5672	2385
704	5680	2376
705	5688	2368
706	5696	2360
707	5703	2352
708	5711	2344
709	5718	2335
710	5726	2327
711	5734	2319
712	5741	2311
713	5749	2302
714	5756	2294
715	5764	2286
716	5772	2278
717	5781	2270
718	5789	2262
719	5798	2255
720	5807	2247
721	5820	2241
722	5832	2234
723	5842	2227
724	5851	2219
725	5860	2211
726	5868	2203
727	5876	2195
728	5884	2187
729	5893	2179
730	5900	2171
731	5908	2163
732	5916	2155
733	5923	2146
734	5930	2138
735	5938	2130
736	5945	2121
737	5954	2113
738	5962	2105
739	5970	2097
740	5977	2089
741	5984	2080
742	5993	2073
743	6001	2064
744	6009	2056
745	6017	2048
746	6024	2040
747	6032	2032
748	6039	2023
749	6047	2015
750	6055	2007
751	6063	1999
752	6071	1991
753	6079	1983
754	6087	1975
755	6095	1967
756	6103	1959
757	6112	1951
758	6120	1943
759	6128	1935
760	6135	1926
761	6143	1918
762	6151	1910
763	6159	1902
764	6167	1894
765	6174	1886
766	6182	1878
767	6190	1870
768	6198	1862
769	6206	1853
770	6214	1845
771	6222	1837
772	6231	1829
773	6239	1821
774	6248	1813
775	6255	1805
776	6264	1797
777	6271	1789
778	6279	1781
779	6287	1773
780	6295	1765
781	6303	1757
782	6311	1749
783	6319	1741
784	6327	1733
785	6335	1724
786	6343	1716
787	6351	1708
788	6359	1700
789	6367	1692
790	6376	1684
791	6384	1676
792	6392	1668
793	6400	1660
794	6408	1652
795	6415	1644
796	6424	1636
797	6433	1628
798	6441	1620
799	6450	1612
800	6458	1604
801	6466	1596
802	6475	1588
803	6483	1580
804	6492	1572
805	6500	1564
806	6508	1556
807	6515	1548
808	6523	1540
809	6531	1531
810	6538	1523
811	6545	1515
812	6553	1507
813	6561	1499
814	6568	1491
815	6575	1482
816	6583	1474
817	6590	1466
818	6598	1458
819	6605	1450
820	6613	1441
821	6621	1433
822	6635	1427
823	6647	1419
824	6657	1412
825	6666	1404
826	6675	1396
827	6684	1388
828	6692	1380
829	6701	1372
830	6709	1364
831	6716	1356
832	6725	1348
833	6733	1340
834	6740	1332
835	6749	1323
836	6756	1315
837	6764	1307
838	6772	1299
839	6781	1291
840	6791	1283
841	6800	1276
842	6808	1267
843	6816	1259
844	6824	1251
845	6832	1243
846	6840	1235
847	6849	1227
848	6857	1219
849	6865	1211
850	6872	1203
851	6881	1195
852	6888	1187
853	6896	1179
854	6903	1170
855	6912	1162
856	6920	1154
857	6928	1146
858	6936	1138
859	6944	1130
860	6951	1122
861	6958	1114
862	6965	1105
863	6973	1097
864	6980	1089
865	6988	1081
866	6996	1073
867	7003	1065
868	7011	1056
869	7018	1048
870	7026	1040
871	7034	1032
872	7041	1024
873	7049	1016
874	7057	1008
875	7065	1000
876	7073	992
877	7081	984
878	7090	976
879	7098	968
880	7106	959
881	7115	951
882	7123	943
883	7131	935
884	7140	927
885	7148	919
886	7156	911
887	7164	903
888	7172	895
889	7180	887
890	7187	879
891	7195	871
892	7203	863
893	7210	854
894	7218	846
895	7226	838
896	7234	830
897	7242	822
898	7250	814
899	7258	806
900	7266	798
901	7274	790
902	7282	782
903	7291	774
904	7298	766
905	7307	758
906	7314	749
907	7322	741
908	7330	733
909	7337	725
910	7345	717
911	7353	709
912	7360	701
913	7368	693
914	7375	685
915	7383	677
916	7390	668
917	7397	660
918	7405	652
919	7413	644
920	7420	636
921	7428	628
922	7436	620
923	7443	612
924	7452	604
925	7465	596
926	7478	588
927	7489	581
928	7498	573
929	7506	565
930	7515	557
931	7523	548
932	7532	540
933	7540	532
934	7548	524
935	7555	516
936	7563	508
937	7571	500
938	7579	492
939	7586	484
940	7594	476
941	7602	468
942	7610	459
943	7618	451
944	7625	443
945	7633	435
946	7641	427
947	7650	419
948	7658	411
949	7667	403
950	7675	395
951	7683	387
952	7691	379
953	7699	371
954	7707	363
955	7715	355
956	7723	347
957	7731	338
958	7739	330
959	7747	322
960	7755	314
961	7762	306
962	7770	298
963	7778	290
964	7785	282
965	7796	274
966	7807	266
967	7814	258
968	7821	250
969	7828	242
970	7835	234
971	7843	225
972	7850	217
973	7859	209
974	7866	201
975	7874	193
976	7882	185
977	7889	177
978	7897	169
979	7905	161
980	7912	153
981	7920	145
982	7928	137
983	7936	129
984	7944	120
985	7952	112
986	7959	104
987	7967	96
988	7975	88
989	7983	80
990	7991	72
991	7998	64
992	8006	56
993	8014	48
994	8022	40
995	8030	32
996	8038	24
997	8046	16
998	8054	8
999	8062	0
